STATE,ACTIVATE,L_BRACE,R_BRACE,ACTION,IDENTIFIER,L_PAREN,R_PAREN,COMMA,CLUSTER,L_BRACKET,R_BRACKET,VOID,SEMICOLON,ASSIGN,INSTINCT,PULSE_LIT,PULSE,SPARK,STREAM,THOUGHT,NEURON,SYNAPSE,RECALL,FLOW,DORMANT,SENSE,EXPRESS,STIMULATE,INHIBIT,CYCLE,REACT,ECHO,EVALUATE,PATH,COLON,BASE,SPARK_LIT,STREAM_LIT,THOUGHT_LIT,NEURON_LIT,EXPONENT,INCREMENT,DECREMENT,LENGTH,TRANSCRIBE,TRUE,FALSE,PLUS_ASSIGN,MINUS_ASSIGN,MUL_ASSIGN,DIV_ASSIGN,MOD_ASSIGN,OR,XOR,AND,EQUAL_TO,NOT_EQUAL,GREATER,LESS,GREATER_EQ,LESS_EQ,PLUS,MINUS,STAR,SLASH,MOD,$,PROGRAM',PROGRAM,SUBROUTINE_LIST,SUBROUTINE,PARAMS,PARAM_LIST,PARAM_ITEM,REC_TYPE,DECLARATION,ID_DECL,ID_LIST,ID_INIT,CONST_DECL,CONST_LIST,CONST_INIT,CLUSTER_DECL,CLUSTER_LIST,CLUSTER_ITEM,CLUSTER_1D,1D_INIT,CLUSTER_1D_LIST,CLUSTER_2D,2D_INIT,CLUSTER_2D_LIST,DATA_TYPE,STATEMENT_LIST,STATEMENT,IO_STMT,CONDITIONAL_STMT,OPT_INHIBIT,LOOP_STMT,ECHO_INIT,SWITCH_STMT,CASE_LIST,CASE_ITEM,OPT_BASE,CASE_VALUE,ASSIGN_STMT,EXPR,LOGIC_OR,LOGIC_XOR,LOGIC_AND,REL_EQUAL,REL_EXPR,ADD_EXPR,MULT_EXPR,POW_EXPR,UNARY_EXPR,POSTFIX_EXPR,FACTOR,VARIABLE_ACCESS,SUBROUTINE_CALL,BUILTIN_CALL,ARG_LIST,ARGS,LITERAL,ASSIGN_OP,OR_OP,XOR_OP,AND_OP,RELEQ_OP,REL_OP,ADD_OP,MUL_OP,UNARY_OP
S15,,,,,S25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S16,,,,,R12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S17,,,S26,,S41,,,,,,,,,,S43,,S55,S31,S49,S36,S60,S29,S30,S34,S44,S58,S39,S48,,S45,S59,S27,S38,,,,,,,,,,,S28,S57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S32,S33,,,S47,,,S40,,,,,,,,,S46,,S50,S56,S52,,S37,,S35,,,,,S42,,,,,,,,,,,,,S53,S54,S51,,,,,,,,,,,,
S18,,,,,,,,,,R46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S19,,,,,,,,,,R43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S20,,,,,,,,,,R48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S21,,,,,,,,,,R45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S22,,,,,,,,,,R44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S23,,,,,,,,,,R47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S24,,,,,,,,,,S61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S25,,,,,,S62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S27,,,,,,S63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S28,,,,,,S64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S29,,,,,R48,,,,R48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S30,,,,,S73,S69,,,,,,,,,,S82,,,,,,,,,,,,,,,,,,,,,S68,S94,S81,S85,,S86,S72,S67,S92,S80,S91,,,,,,,,,,,,,,,S95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S66,S90,S83,S77,S79,S70,S74,S71,S87,S93,S76,S75,S88,S89,S84,,,S65,,,,,,,,,S78
S31,,,,,R44,,,,R44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S32,,,R51,,R51,,,,,,,,,,R51,,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,,R51,R51,R51,R51,,,,,,,,,,,R51,R51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S33,,,R16,,R16,,,,,,,,,,R16,,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,,R16,R16,R16,R16,,,,,,,,,,,R16,R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S34,,,,,,,,,,,,,S96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S35,,,R57,,R57,,,,,,,,,,R57,,R57,R57,R57,R57,R57,R57,R57,R57,R57,R57,R57,R57,,R57,R57,R57,R57,,,,,,,,,,,R57,R57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S36,,,,,R46,,,,R46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S37,,,R56,,R56,,,,,,,,,,R56,,R56,R56,R56,R56,R56,R56,R56,R56,R56,R56,R56,R56,,R56,R56,R56,R56,,,,,,,,,,,R56,R56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S38,,,,,,S97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S39,,,,,,S98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S40,,,R18,,R18,,,,,,,,,,R18,,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,,R18,R18,R18,R18,,,,,,,,,,,R18,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S41,,,,,,S99,,,,R114,,,,R114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R114,R114,R114,R114,R114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S42,,,,,,,,,,,,,S100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S43,,,,,,,,,,,,,,,,,S8,S11,S10,S7,S14,S9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S44,,,,,,,,,,,,,S102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S45,,,,,,S103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
