STATE,RULE,LOOKAHEAD,ACTION / GOTO,STATE(S) / RULE (R)
"S17","<id_decl> -> . <data_type> <id_list> SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Goto (<data_type>)","S46"
"S17","<const_decl> -> . INSTINCT <data_type> <const_list> SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Shift (INSTINCT)","S43"
"S17","<cluster_decl> -> . <data_type> CLUSTER <cluster_list> SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Goto (<data_type>)","S46"
"S17","<data_type> -> . PULSE","CLUSTER, IDENTIFIER","Shift (PULSE)","S55"
"S17","<data_type> -> . SPARK","CLUSTER, IDENTIFIER","Shift (SPARK)","S31"
"S17","<data_type> -> . STREAM","CLUSTER, IDENTIFIER","Shift (STREAM)","S49"
"S17","<data_type> -> . THOUGHT","CLUSTER, IDENTIFIER","Shift (THOUGHT)","S36"
"S17","<data_type> -> . NEURON","CLUSTER, IDENTIFIER","Shift (NEURON)","S60"
"S17","<data_type> -> . SYNAPSE","CLUSTER, IDENTIFIER","Shift (SYNAPSE)","S29"
"S17","<statement_list> -> <statement_list> . <statement>","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Goto (<statement>)","S50"
"S17","<statement> -> . <declaration>","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Goto (<declaration>)","S32"
"S17","<statement> -> . <assign_stmt> SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Goto (<assign_stmt>)","S42"
"S17","<statement> -> . <builtin_call> SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Goto (<builtin_call>)","S51"
"S17","<statement> -> . <subroutine_call> SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Goto (<subroutine_call>)","S54"
"S17","<statement> -> . <conditional_stmt>","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Goto (<conditional_stmt>)","S52"
